7.85,1.35,19.14,2.61,0.84,25.57,39.0,Acacia,8897.87,0.66,359.59
5.67,1.3,18.11,5.79,0.79,32.28,40.12,Rosemary,1543.3,0.94,709.64
9.02,1.42,15.13,3.88,0.85,22.82,30.95,Alfalfa,5586.06,1.0,432.62
3.4,1.4,13.38,2.76,0.73,33.25,40.69,Buckwheat,8173.96,0.9,613.88
2.83,1.23,17.74,5.75,0.85,36.13,25.78,Wildflower,8944.91,0.89,287.06
3.76,1.61,18.0,5.49,0.87,21.97,31.89,Eucalyptus,1700.79,0.84,586.77
4.95,1.22,20.54,3.65,0.76,26.75,31.94,Thyme,5580.28,1.0,916.22
8.47,1.31,19.97,6.61,0.88,35.47,28.29,Avocado,3526.98,0.68,665.85
7.04,1.23,17.19,2.87,0.89,47.19,28.59,Heather,3493.69,1.0,926.3
2.07,1.34,12.07,4.61,0.81,46.04,32.64,Alfalfa,5658.86,0.82,355.54
7.61,1.83,16.1,4.95,0.9,28.64,27.37,Acacia,5164.0,0.82,446.59
1.72,1.79,23.71,5.45,0.78,38.66,34.85,Thyme,3618.12,0.68,624.62
4.61,1.7,21.93,6.63,0.7,46.86,30.69,Thyme,2181.78,0.64,581.54
4.55,1.32,14.02,4.84,0.75,41.41,33.64,Orange Blossom,5343.78,0.82,206.6
3.94,1.64,16.03,3.01,0.74,40.47,27.56,Sunflower,9183.87,0.82,728.14
8.98,1.41,24.15,6.53,0.77,41.88,30.07,Manuka,9849.18,0.88,854.49
8.99,1.42,24.61,2.58,0.8,36.8,20.52,Rosemary,6427.18,0.9,677.14
5.83,1.23,19.05,7.32,0.73,26.53,28.33,Rosemary,4227.69,0.97,733.82
7.89,1.8,12.52,3.79,0.76,20.49,31.87,Tupelo,8968.83,0.82,769.55
9.43,1.56,23.09,2.56,0.82,35.79,20.1,Heather,8918.56,0.66,608.32
5.88,1.37,21.46,3.42,0.76,38.01,27.32,Thyme,5132.09,1.0,916.22
2.97,1.49,18.19,3.17,0.89,41.54,37.13,Tupelo,8577.4,0.82,769.55
9.15,1.63,12.1,4.89,0.78,34.22,33.23,Sage,7255.8,0.84,779.81
8.8,1.58,13.3,5.32,0.88,35.78,37.5,Buckwheat,8826.01,0.68,466.62
6.55,1.49,22.96,7.49,0.87,41.96,44.97,Lavender,4400.12,0.95,571.82
9.8,1.22,23.07,7.3,0.9,21.51,41.79,Acacia,4627.52,0.64,345.99
1.33,1.52,23.25,6.65,0.86,46.32,26.84,Manuka,5924.06,0.66,646.3
2.09,1.85,12.05,6.17,0.79,31.92,27.26,Blueberry,7772.02,0.68,645.24
9.49,1.5,14.28,3.35,0.83,43.93,25.6,Sage,6611.2,0.82,761.27
2.96,1.76,17.47,4.0,0.74,37.84,28.9,Tupelo,3675.15,1.0,936.38
6.19,1.35,18.06,4.62,0.73,38.05,22.32,Sage,1765.74,1.0,926.3
3.13,1.38,18.6,3.15,0.8,42.14,29.28,Blueberry,5050.06,1.0,946.46
9.74,1.61,15.54,4.14,0.88,34.42,35.25,Borage,1741.64,0.82,606.97
7.08,1.42,12.15,7.34,0.88,20.72,33.12,Wildflower,1517.82,1.0,321.85
6.84,1.68,13.62,5.26,0.75,47.37,24.5,Alfalfa,9253.47,0.95,409.66
3.9,1.47,12.46,3.88,0.72,23.47,30.89,Clover,6716.45,0.82,173.51
5.7,1.83,19.84,3.19,0.79,40.31,32.82,Buckwheat,9661.47,1.0,684.45
1.74,1.24,19.0,6.19,0.87,39.57,40.25,Manuka,3484.54,0.66,641.42
4.34,1.56,19.01,7.49,0.8,24.97,40.88,Lavender,6158.7,0.64,384.48
6.54,1.52,18.94,2.69,0.86,45.99,42.37,Sage,5159.38,0.95,877.16
2.52,1.57,17.44,4.16,0.87,32.3,44.79,Acacia,5528.05,1.0,543.41
9.97,1.59,16.83,5.97,0.84,33.64,21.35,Eucalyptus,3889.38,0.87,602.07
7.05,1.47,17.78,6.03,0.78,23.74,24.22,Sunflower,8106.06,1.0,885.99
4.86,1.62,15.5,6.96,0.78,29.23,40.07,Thyme,5708.4,0.95,867.61
2.56,1.57,18.6,3.54,0.72,46.3,29.05,Wildflower,4699.27,0.82,264.51
2.16,1.24,22.77,4.3,0.82,39.13,28.43,Tupelo,6351.03,0.84,788.3
7.55,1.42,23.42,5.72,0.83,39.12,22.76,Thyme,5871.91,0.9,821.76
5.81,1.27,18.29,7.38,0.77,32.55,23.29,Orange Blossom,3847.34,0.97,243.08
1.7,1.85,18.54,7.15,0.77,49.87,36.8,Chestnut,8964.55,0.66,639.64
8.09,1.71,24.17,3.57,0.75,44.25,34.85,Avocado,3229.2,0.82,802.69
9.85,1.64,14.57,6.75,0.81,33.57,33.64,Tupelo,9874.44,0.66,613.07
6.34,1.28,19.73,7.19,0.7,24.21,37.49,Alfalfa,1748.64,0.94,408.8
5.05,1.84,18.75,3.89,0.83,36.1,35.35,Wildflower,3949.38,1.0,321.85
8.22,1.24,21.18,3.56,0.89,29.91,29.45,Manuka,2291.91,0.8,776.29
1.67,1.65,17.91,3.88,0.9,23.84,24.54,Blueberry,4002.29,1.0,946.46
4.37,1.36,17.06,7.08,0.71,20.8,31.64,Manuka,5442.43,1.0,976.69
7.69,1.86,24.73,6.34,0.81,40.89,24.99,Borage,9677.63,0.61,454.17
3.57,1.41,19.66,6.72,0.76,20.29,31.41,Blueberry,5516.72,0.9,853.62
4.71,1.49,18.04,7.37,0.8,34.29,39.45,Avocado,7339.52,0.89,871.11
8.89,1.22,23.73,3.37,0.76,42.13,40.88,Orange Blossom,6000.9,0.8,200.31
2.52,1.82,17.95,6.16,0.72,37.82,30.03,Tupelo,5312.05,0.89,835.15
2.09,1.4,21.59,6.9,0.74,39.87,35.95,Alfalfa,8421.03,0.92,398.84
7.28,1.49,16.2,7.33,0.89,26.39,28.41,Thyme,8594.03,0.66,606.29
8.31,1.47,12.71,5.56,0.8,25.33,24.59,Tupelo,3872.02,0.64,596.2
2.46,1.52,17.9,2.8,0.79,24.66,36.71,Lavender,2607.79,0.87,526.49
5.9,1.76,19.69,2.53,0.89,47.88,43.04,Blueberry,7583.42,0.95,896.25
5.08,1.45,12.98,5.33,0.83,24.07,39.12,Wildflower,3675.88,1.0,321.85
6.55,1.38,12.81,5.91,0.89,23.16,20.01,Sage,1755.6,1.0,926.3
7.07,1.61,19.92,4.86,0.79,43.68,30.48,Acacia,4421.34,1.0,543.41
5.67,1.33,24.78,7.33,0.82,37.69,42.72,Buckwheat,9686.9,0.94,643.34
9.57,1.34,14.99,3.89,0.77,23.25,22.15,Thyme,3477.25,0.8,730.06
2.25,1.72,17.88,2.91,0.78,42.72,44.01,Sunflower,8825.73,0.85,750.31
6.09,1.25,16.09,4.41,0.78,32.72,41.83,Wildflower,6744.09,1.0,321.85
